"VENUE_ID","VENUE_NAME","CITY"
"1","BARABATI STADIUM","CUTTACK"
"2","BUFFALO PARK","EAST LONDON"
"3","DE BEERS DIAMOND OVAL","KIMBERLEY"
"4","DR. Y.S. RAJASEKHARA REDDY ACA-VDCA CRICKET STADIUM","VISAKHAPATNAM"
"5","DUBAI INTERNATIONAL CRICKET STADIUM",""
"6","EDEN GARDENS","KOLKATA"
"7","FEROZ SHAH KOTLA","DELHI"
"8","HOLKAR CRICKET STADIUM","INDORE"
"9","JSCA INTERNATIONAL STADIUM COMPLEX","RANCHI"
"10","M CHINNASWAMY STADIUM","BANGALORE"
"11","MA CHIDAMBARAM STADIUM, CHEPAUK","CHENNAI"
"12","NEHRU STADIUM","KOCHI"
"13","NEWLANDS","CAPE TOWN"
"14","PUNJAB CRICKET ASSOCIATION IS BINDRA STADIUM, MOHALI","CHANDIGARH"
"15","PUNJAB CRICKET ASSOCIATION STADIUM, MOHALI","CHANDIGARH"
"16","RAJIV GANDHI INTERNATIONAL STADIUM, UPPAL","HYDERABAD"
"17","SAWAI MANSINGH STADIUM","JAIPUR"
"18","SHEIKH ZAYED STADIUM","ABU DHABI"
"19","ST GEORGE'S PARK","PORT ELIZABETH"
"20","SUBRATA ROY SAHARA STADIUM","PUNE"
"21","SUPERSPORT PARK","CENTURION"
"22","VIDARBHA CRICKET ASSOCIATION STADIUM, JAMTHA","NAGPUR"
"23","WANKHEDE STADIUM","MUMBAI"
"1001","BRABOURNE STADIUM","MUMBAI"
"1002","DR DY PATIL SPORTS ACADEMY","MUMBAI"
"1003","GREEN PARK","KANPUR"
"1004","HIMACHAL PRADESH CRICKET ASSOCIATION STADIUM","DHARAMSALA"
"1005","KINGSMEAD","DURBAN"
"1006","MAHARASHTRA CRICKET ASSOCIATION STADIUM","PUNE"
"1007","NEW WANDERERS STADIUM","JOHANNESBURG"
"1008","OUTSURANCE OVAL","BLOEMFONTEIN"
"1009","SARDAR PATEL STADIUM, MOTERA","AHMEDABAD"
"1010","SAURASHTRA CRICKET ASSOCIATION STADIUM","RAJKOT"
"1011","SHAHEED VEER NARAYAN SINGH INTERNATIONAL STADIUM","RAIPUR"
"1012","SHARJAH CRICKET STADIUM","SHARJAH"
